model_name,favg2_covid,favg2_digital,favg2_women,favg2_overall,favg3_covid,favg3_digital,favg3_women,favg3_overall
arabertv02_twitter_base,0.780762,0.769360,0.862741,0.824302,0.631619,0.714927,0.797383,0.712933
arabertv02_twitter_base,0.780762,0.769360,0.862741,0.824302,0.631619,0.714927,0.797383,0.712933
arabertv02_base,0.723140,0.715995,0.837542,0.785518,0.559016,0.657885,0.771695,0.667678
arabertv02_twitter_large,0.831338,0.728184,0.858112,0.834618,0.684944,0.675932,0.738741,0.715704
arabertv02_twitter_large_fulldata,0.823122,0.716667,0.860247,0.832559,0.668748,0.705420,0.740165,0.723264
gemma4_31b_cerebras,0.906609,0.768467,0.899564,0.884824,0.792812,0.696709,0.813043,0.781973
results_gemma4_31b_cerebras,0.873016,0.660000,0.958333,0.909422,0.730159,0.621818,0.805556,0.772948
results_gemma4_31b_cerebras_full,0.906609,0.768467,0.899564,0.884824,0.792812,0.696709,0.813043,0.781973
results_gemma4_31b_cerebras_v1_prompt,0.885714,0.858333,0.965440,0.924876,0.790476,0.777350,0.865849,0.823481
results_qwen3.6_27b,0.704762,0.687500,0.922705,0.826966,0.623687,0.648810,0.837359,0.736496
results_qwen3_32b,0.737557,0.791667,0.913684,0.855020,0.625038,0.750000,0.742456,0.742853
results_qwen3_32b_v1_prompt,0.714052,0.858333,0.917793,0.848459,0.578599,0.777350,0.802338,0.727255
results_qwen3_32b_v2_prompt,0.752941,0.768116,0.890351,0.842365,0.650109,0.702553,0.704678,0.722496
results_gemma4_31b_cerebras_v5_prompt_arabic_target,0.857143,0.846809,0.987179,0.917793,0.753247,0.755015,0.943834,0.820195
results_gemma4_31b_cerebras_v1_prompt_arabic_target,0.885714,0.858333,1.000000,0.936538,0.790476,0.777350,1.000000,0.854244
results_gemma4_31b_cerebras_full_v1_arabic_target,0.906609,0.778516,0.897008,0.884351,0.792812,0.702017,0.812291,0.781567
results_gemma4_31b_cerebras_v4_fewshot,0.844444,0.869388,0.987179,0.924038,0.696296,0.801814,0.943834,0.822922
